id,title,content
1,Acier,"Alliage composé principalement de fer et de carbone, utilisé pour la fabrication de nombreuses montres. L'acier 316L est particulièrement prisé pour sa résistance à la corrosion  de ne pas provoquer d'allergies."
2,Affichage,"Mode d'indication de l'heure sur une montre. Il peut être numérique (chiffres sur un écran) ou analogique (aiguilles sur un cadran)."
3,Aiguille,"Élément mobile qui pointe les heures, les minutes ou les secondes sur le cadran d'une montre. Une montre classique comporte généralement trois aiguilles."
4,Alternance,"Mouvement oscillant d'un composant entre deux positions. Dans une montre mécanique, il s'agit du déplacement du balancier, exprimé en alternances par heure."
5,Ardillon,"Petite tige métallique qui se fixe dans les trous d'un bracelet pour le maintenir fermé. Associé à la « boucle ardillon »."
6,Armer,"Action de tendre le ressort d'une montre mécanique, soit manuellement en tournant la couronne, soit automatiquement grâce aux mouvements du poignet."
7,Assemblage,"Processus d'assemblage des différentes pièces constituant le mouvement d'une montre. Dans l'horlogerie haut de gamme, il est souvent réalisé à la main."
8,ATM (atmosphère),"Unité de mesure de la résistance à la pression d'une montre. 1 ATM équivaut à la pression atmosphérique normale (1013 hPa). Exemple : 10 ATM = résistance à 100 mètres sous l'eau."
9,Automatique,"Type de montre mécanique qui se remonte seule grâce aux mouvements du poignet via un rotor."
10,Autonomie,"Durée de fonctionnement d'une montre sans remontage (pour les mécaniques) ou sans changement de pile (pour les montres à quartz)."
11,Balancier,"Composant oscillant du mouvement d'une montre mécanique qui régule la mesure du temps. Son rythme est déterminé par le ressort spiral."
12,Barillet,"Boîtier contenant le ressort moteur d'une montre, servant à stocker l'énergie et à la redistribuer progressivement au mouvement."
13,Boîtier,"Enveloppe externe protégeant le mouvement d'une montre. Il peut être en acier, en or, en titane ou en d'autres matériaux."
14,Cadran,"Surface visible de la montre où sont indiquées les heures, les minutes, et parfois d'autres informations comme la date ou les phases de la lune."
15,Calibre,"Terme désignant le mouvement d'une montre, avec ses dimensions et sa disposition spécifique."
16,Came,"Pièce mécanique permettant de transformer un mouvement rotatif en un mouvement linéaire."
17,Carat,"Unité mesurant la pureté de l'or (24 carats = or pur) ou le poids des pierres précieuses."
18,Carrure,"Partie centrale du boîtier qui accueille le mouvement et sur laquelle sont fixés le fond et la lunette."
19,Carrousel,"Dispositif similaire au tourbillon, servant à améliorer la précision d'une montre en compensant les écarts de marche dus à la gravité."
20,Chronographe,"Fonction permettant de mesurer un intervalle de temps indépendant de l'affichage de l'heure, déclenché par un poussoir."
21,Complication,"Toute fonction additionnelle sur une montre, en dehors de l'affichage de l'heure (chronographe, calendrier perpétuel, GMT, etc.)."
22,Corne,"Extension du boîtier permettant d'attacher le bracelet."
23,COSC,"Organisme suisse certifiant la précision des mouvements avec le label « chronomètre »."
24,Couronne,"Bouton situé sur le côté du boîtier permettant de régler l'heure et de remonter la montre."
25,Déployante (boucle),"  Type de fermoir articulé qui s'ouvre et se referme sans détacher complètement le bracelet."
26,Échelle tachymétrique,"  Graduations permettant de mesurer la vitesse sur une distance donnée, souvent présente sur les montres sportives."
27,Étanchéité,"Capacité d'une montre à résister à l'eau. Indiquée en ATM, certaines montres supportent uniquement les éclaboussures, d'autres permettent la plongée."
28,Flyback,"Fonction permettant de redémarrer instantanément un chronographe sans devoir l'arrêter et le remettre à zéro."
29,Fond,"Partie arrière du boîtier, pouvant être transparente pour dévoiler le mécanisme."
30,Foudroyante,"Aiguille du chronographe affichant les fractions de seconde, permettant une lecture ultra précise du temps."
31,Glidelock,"Système breveté par Rolex permettant d'ajuster la longueur du bracelet pour la plongée."
32,GMT (Greenwich Mean Time),"Fonction permettant d'afficher plusieurs fuseaux horaires simultanément."
33,Guichet,"Petite fenêtre sur le cadran affichant une information (date, phase de lune, etc.)."
34,Guillochage,"Technique de décoration consistant à graver des motifs sur le cadran ou le boîtier."
35,Index,"Repères sur le cadran marquant les heures, pouvant remplacer les chiffres."
36,LumiNova,"Matière luminescente appliquée sur les aiguilles et les index pour améliorer la lisibilité dans l'obscurité."
37,Lunette,"Anneau entourant le cadran. Peut être fixe ou tournante pour des fonctionnalités spécifiques (plongée, chronographe)."
38,Manuel (remontage),"Montre nécessitant un remontage à la main via la couronne."
39,Marteau,"Pièce métallique frappant les timbres dans une montre à sonnerie pour produire un signal sonore."
40,Masse oscillante (Rotor),"Pièce mobile qui tourne librement pour remonter automatiquement la montre."
41,Mouvement,"Ensemble des pièces permettant à la montre de fonctionner. Peut être mécanique ou à quartz."
42,Oscillateur,"Élément du mouvement assurant la division régulière du temps, comme un balancier ou un cristal de quartz."
43,Phase de lune,"Complication affichant les différentes phases de la lune sur le cadran."
44,Platine,"Base sur laquelle sont fixés les éléments du mouvement. Peut aussi désigner un métal précieux utilisé pour les boîtiers."
45,Poinçon de Genève,"Label de qualité garantissant la finition et la précision d'un mouvement suisse."
46,Poussoir,"Bouton permettant d'activer une fonction spécifique (chronographe, répétition des minutes, etc.)."
47,Quantième perpétuel,"Complication affichant la date en tenant compte des mois de 28, 30 et 31 jours, ainsi que des années bissextiles."
48,Quartz,"Mouvement utilisant un cristal de quartz vibrant sous l'effet d'un courant électrique pour assurer une précision élevée."
49,Verre saphir,"Quasiment inrayable, il n'y a que le diamant qui pourras le rayer. Reste toujours sensible aux chocs"
50,Verre minéral," Plus résistant que le plexiglas, mais moins que le saphir."
51,Verre Hardlex,"Verre minéral renforcé, plus résistant aux chocs mais plus sensible que le saphir aux rayures."
52,Verre hésalite,"Verre en plastique, utilisé sur certaines montres vintage"
53,Lumibrite,"Matière luminescente appliquée sur les aiguilles et index pour assurer la lisibilité dans l'obscurité."
54,Rubis,"Petits paliers synthétiques réduisant les frottements dans le mouvement."
55,Spirale," Composant du balancier assurant la régularité des oscillations et donc la précision de la montre."
56,Tourbillon,"Complication visant à compenser les effets de la gravité sur la précision du mouvement."
57,Titane,"Le titane est un matériau récurrent en horlogerie, notamment dans la confection des boitiers. Il est apprécié pour sa résistance à la corrosion et pour sa légèreté."
58,Réserve de marche,"Il s'agit d'une complication qui permet d'afficher le temps de fonctionnement restant de la montre. La réserve de marche peut être affichée en heures ou en jours sur le cadran."
59,Répétition,"La répétition est une complication qui indique le temps par une sonnerie, à la demande. Il existe plusieurs types de répétitions : la répétition à quarts et à demi-quarts, la répétition 5 minutes, la répétition minute. Lorsque l'on actionne le poussoir, de petits marteaux sonnent sur le timbre et émettent un son très délicat. Par exemple, avec une répétition minute, les heures sont indiquées par une note grave, les quarts d'heure par une note grave suivie d'une note aigüe, et les minutes par une note aigüe."
